Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-01,622.0499877929688,645.0,620.5,641.6500244140625,584400,0,0
2020-07-02,640.5,650.9500122070312,631.0,636.0999755859375,324859,0,0
2020-07-03,636.0999755859375,640.8499755859375,625.2999877929688,629.2000122070312,126529,0,0
2020-07-06,630.0,639.0,625.0999755859375,633.2000122070312,139466,0,0
2020-07-07,630.3499755859375,638.9500122070312,621.5,636.2999877929688,185752,0,0
2020-07-08,636.0,675.75,628.0,668.0499877929688,1102324,0,0
2020-07-09,670.75,679.0,642.5,653.0999755859375,860014,0,0
2020-07-10,654.4000244140625,655.5,623.5,633.7999877929688,267352,0,0
2020-07-13,635.0,662.0,628.1500244140625,655.1500244140625,395227,0,0
2020-07-14,652.0,654.5,627.0,631.0499877929688,263714,0,0
2020-07-15,637.0,646.0,623.0,625.75,243636,0,0
2020-07-16,627.75,634.75,606.0,610.0,226657,0,0
2020-07-17,618.0,619.25,608.0499877929688,610.2999877929688,185481,0,0
2020-07-20,614.5,617.0,601.5,602.75,210635,0,0
2020-07-21,607.0,609.5999755859375,585.9000244140625,590.0499877929688,413266,0,0
2020-07-22,588.0999755859375,593.9000244140625,571.8499755859375,573.9500122070312,539665,0,0
2020-07-23,576.9000244140625,588.7999877929688,573.2999877929688,583.5999755859375,448225,0,0
2020-07-24,583.5999755859375,587.5,570.0499877929688,576.2000122070312,334229,0,0
2020-07-27,578.0,584.0,561.2000122070312,565.0,120823,0,0
2020-07-28,568.9000244140625,585.9000244140625,557.5999755859375,576.6500244140625,310260,0,0
2020-07-29,579.9000244140625,579.9000244140625,560.0,563.25,350846,0,0
2020-07-30,566.25,571.0,555.0,557.1500244140625,306964,0,0
2020-07-31,560.0,561.9000244140625,547.3499755859375,549.5499877929688,321154,0,0
2020-08-03,553.0499877929688,553.0499877929688,538.6500244140625,549.25,388645,0,0
2020-08-04,550.0,560.6500244140625,546.8499755859375,556.4500122070312,279658,0,0
2020-08-05,556.5,573.8499755859375,556.5,568.5,508666,0,0
2020-08-06,571.9000244140625,580.25,563.2999877929688,569.4500122070312,386915,0,0
2020-08-07,570.7000122070312,584.0,567.0499877929688,580.8499755859375,275837,0,0
2020-08-10,581.5,585.0999755859375,567.0,569.25,268240,0,0
2020-08-11,572.4500122070312,583.0,560.5,576.6500244140625,378914,0,0
2020-08-12,575.0,582.7000122070312,565.0,578.5499877929688,333369,0,0
2020-08-13,582.0,605.0,576.0,596.8499755859375,564300,0,0
2020-08-14,602.2000122070312,602.2000122070312,581.2000122070312,595.3499755859375,293543,0,0
2020-08-17,602.3499755859375,602.3499755859375,587.9500122070312,595.3499755859375,118651,0,0
2020-08-18,595.1500244140625,595.1500244140625,585.0,588.7000122070312,119669,0,0
2020-08-19,588.7000122070312,610.0,588.0499877929688,605.9500122070312,382400,0,0
2020-08-20,606.5,641.0999755859375,606.0,633.75,1742516,0,0
2020-08-21,638.0,649.0,633.0,636.5499877929688,640566,0,0
2020-08-24,639.3499755859375,639.5,620.0,621.5499877929688,248317,0,0
2020-08-25,630.7999877929688,656.0,622.0499877929688,648.9500122070312,787969,0,0
2020-08-26,648.9500122070312,663.9000244140625,633.2999877929688,639.7000122070312,428822,0,0
2020-08-27,642.7000122070312,643.9000244140625,631.3499755859375,636.1500244140625,155267,0,0
2020-08-28,638.5499877929688,653.8499755859375,621.5499877929688,626.0499877929688,358227,0,0
2020-08-31,630.9500122070312,635.75,592.0,600.4500122070312,299714,0,0
2020-09-01,600.4500122070312,620.0,596.25,613.5499877929688,191658,0,0
2020-09-02,609.0,618.75,600.0,615.75,148441,0,0
2020-09-03,610.7999877929688,626.5,607.0,610.3499755859375,125482,0,0
2020-09-04,599.9000244140625,616.4000244140625,598.9500122070312,609.0999755859375,114828,0,0
2020-09-07,609.0999755859375,610.9500122070312,600.9500122070312,608.3499755859375,59186,0,0
2020-09-08,609.75,625.0,605.4000244140625,615.8499755859375,474951,0,0
2020-09-09,615.7000122070312,625.0,605.2000122070312,613.4000244140625,315673,0,0
2020-09-10,619.5,635.0,619.5,630.0,419062,0,0
2020-09-11,630.0,644.3499755859375,613.3499755859375,626.4500122070312,394843,0,0
2020-09-14,630.7999877929688,656.0,630.5,652.7000122070312,500250,0,0
2020-09-15,658.9000244140625,686.9000244140625,653.2999877929688,668.75,914787,0,0
2020-09-16,683.5,688.0,669.0499877929688,673.9500122070312,513458,0,0
2020-09-17,671.0,676.75,648.25,656.0999755859375,246440,0,0
2020-09-18,659.4500122070312,683.9500122070312,655.0,675.6500244140625,381710,0,0
2020-09-21,680.0999755859375,700.0,620.0,647.2999877929688,1076162,0,0
2020-09-22,652.1500244140625,658.0,610.5999755859375,645.9000244140625,585558,0,0
2020-09-23,650.0,657.9000244140625,626.8499755859375,645.8499755859375,237849,0,0
2020-09-24,644.6500244140625,669.0,616.0999755859375,630.2999877929688,251753,0,0
2020-09-25,642.4000244140625,654.8499755859375,625.0,633.0,185587,0,0
2020-09-28,636.0999755859375,639.75,621.7000122070312,624.25,284346,0,0
2020-09-29,625.25,629.0,611.0,617.75,361771,0,0
2020-09-30,612.4500122070312,621.5,611.0,614.0,138949,0,0
2020-10-01,623.9500122070312,624.0,610.0,619.1500244140625,118180,0,0
2020-10-05,622.1500244140625,627.0,615.0,621.4500122070312,108303,0,0
2020-10-06,623.1500244140625,627.0,617.0,620.25,88545,0,0
2020-10-07,620.0,622.0,605.0,609.0999755859375,98330,0,0
2020-10-08,612.7000122070312,613.4000244140625,596.0,600.3499755859375,175301,0,0
2020-10-09,602.0,614.8499755859375,600.7999877929688,610.2000122070312,103523,0,0
2020-10-12,607.0,610.0,590.0,593.4000244140625,104619,0,0
2020-10-13,598.0,598.0,585.0,588.4000244140625,174062,0,0
2020-10-14,585.0,588.4000244140625,580.25,582.5999755859375,124765,0,0
2020-10-15,582.7999877929688,592.0,572.0,573.4000244140625,103900,0,0
2020-10-16,572.25,582.0,569.0,577.25,74198,0,0
2020-10-19,582.0,594.0,562.0,568.8499755859375,220731,0,0
2020-10-20,568.9000244140625,578.0,568.4000244140625,575.1500244140625,79452,0,0
2020-10-21,577.9500122070312,587.25,567.0,570.5999755859375,218561,0,0
2020-10-22,571.0,585.0,570.0,578.25,233634,0,0
2020-10-23,580.0,592.4500122070312,579.9000244140625,589.3499755859375,248881,0,0
2020-10-26,591.0,605.0,574.0499877929688,576.2999877929688,139628,0,0
2020-10-27,571.5999755859375,586.3499755859375,565.5499877929688,582.3499755859375,213618,0,0
2020-10-28,582.3499755859375,585.0,566.0999755859375,569.2999877929688,99458,0,0
2020-10-29,571.0,576.2999877929688,565.0,569.4000244140625,86842,0,0
2020-10-30,571.2000122070312,586.0,560.0999755859375,563.0,171230,0,0
2020-11-02,563.0999755859375,577.0499877929688,555.0999755859375,572.25,216919,0,0
2020-11-03,574.2000122070312,578.8499755859375,566.0,568.25,117054,0,0
2020-11-04,570.0,577.75,565.1500244140625,574.0999755859375,100961,0,0
2020-11-05,576.5499877929688,581.6500244140625,572.5,576.0,127530,0,0
2020-11-06,577.6500244140625,609.7999877929688,577.6500244140625,602.0499877929688,640788,0,0
2020-11-09,605.0,606.0499877929688,588.2999877929688,596.0499877929688,235824,0,0
2020-11-10,599.0,599.0,581.5,584.4500122070312,145019,0,0
2020-11-11,587.0,593.0,579.0499877929688,584.1500244140625,138985,0,0
2020-11-12,589.1500244140625,592.25,576.2000122070312,577.7000122070312,206644,0,0
2020-11-13,577.7000122070312,585.2999877929688,572.9000244140625,581.3499755859375,95678,0,0
2020-11-17,588.0,588.0,579.1500244140625,582.5,153874,0,0
2020-11-18,584.0,586.9500122070312,580.0,582.0499877929688,717707,0,0
2020-11-19,581.0999755859375,588.6500244140625,578.5499877929688,580.7999877929688,152241,0,0
2020-11-20,580.0,583.7000122070312,568.25,571.7000122070312,222789,0,0
2020-11-23,574.7999877929688,577.25,571.0999755859375,574.4000244140625,125145,0,0
2020-11-24,574.9500122070312,594.0,574.9500122070312,591.5499877929688,262235,0,0
2020-11-25,595.5,600.2999877929688,580.0999755859375,584.2999877929688,349281,0,0
2020-11-26,585.9000244140625,605.5,576.4500122070312,596.9000244140625,491230,0,0
2020-11-27,592.0,601.8499755859375,577.7000122070312,581.4000244140625,323415,0,0
2020-12-01,586.5,594.4000244140625,578.0999755859375,592.0999755859375,457758,0,0
2020-12-02,595.0,606.0,590.0,603.1500244140625,1103797,0,0
2020-12-03,620.0,634.5999755859375,610.0,628.75,1164747,0,0
2020-12-04,633.9000244140625,640.0,623.1500244140625,629.1500244140625,545143,0,0
